time;model_id;model_name;port_name;data
151.006;1;blinky;out;0
151.006;1;blinky;;Status:, 1, sigma: 3
154.006;1;blinky;out;1
154.006;1;blinky;;Status:, 0, sigma: 3
157.006;1;blinky;out;0
157.006;1;blinky;;Status:, 1, sigma: 3
160.006;1;blinky;out;1
160.006;1;blinky;;Status:, 0, sigma: 3
162.849;1;blinky;;Status:, 0, sigma: 0.75
162.849;2;generator;out;0
162.849;2;generator;;Status:, 0
163.599;1;blinky;out;0
163.599;1;blinky;;Status:, 1, sigma: 0.75
164.349;1;blinky;out;1
164.349;1;blinky;;Status:, 0, sigma: 0.75
165.099;1;blinky;out;0
165.099;1;blinky;;Status:, 1, sigma: 0.75
165.849;1;blinky;out;1
165.849;1;blinky;;Status:, 0, sigma: 0.75
166.599;1;blinky;out;0
166.599;1;blinky;;Status:, 1, sigma: 0.75
167.349;1;blinky;out;1
167.349;1;blinky;;Status:, 0, sigma: 0.75
168.099;1;blinky;out;0
168.099;1;blinky;;Status:, 1, sigma: 0.75
168.849;1;blinky;out;1
168.849;1;blinky;;Status:, 0, sigma: 0.75
169.599;1;blinky;out;0
169.599;1;blinky;;Status:, 1, sigma: 0.75
170.349;1;blinky;out;1
170.349;1;blinky;;Status:, 0, sigma: 0.75
171.099;1;blinky;out;0
171.099;1;blinky;;Status:, 1, sigma: 0.75
171.849;1;blinky;out;1
171.849;1;blinky;;Status:, 0, sigma: 0.75
172.599;1;blinky;out;0
172.599;1;blinky;;Status:, 1, sigma: 0.75
173.349;1;blinky;out;1
173.349;1;blinky;;Status:, 0, sigma: 0.75
174.099;1;blinky;out;0
174.099;1;blinky;;Status:, 1, sigma: 0.75
174.404;1;blinky;;Status:, 1, sigma: 3
174.404;2;generator;out;0
174.404;2;generator;;Status:, 0
177.404;1;blinky;out;1
177.404;1;blinky;;Status:, 0, sigma: 3
180.404;1;blinky;out;0
180.404;1;blinky;;Status:, 1, sigma: 3
183.404;1;blinky;out;1
183.404;1;blinky;;Status:, 0, sigma: 3
186.404;1;blinky;out;0
186.404;1;blinky;;Status:, 1, sigma: 3
189.404;1;blinky;out;1
189.404;1;blinky;;Status:, 0, sigma: 3
192.404;1;blinky;out;0
192.404;1;blinky;;Status:, 1, sigma: 3
192.616;1;blinky;;Status:, 1, sigma: 0.75
192.616;2;generator;out;0
192.616;2;generator;;Status:, 0
193.366;1;blinky;out;1
193.366;1;blinky;;Status:, 0, sigma: 0.75
194.116;1;blinky;out;0
194.116;1;blinky;;Status:, 1, sigma: 0.75
194.866;1;blinky;out;1
194.866;1;blinky;;Status:, 0, sigma: 0.75
195.616;1;blinky;out;0
195.616;1;blinky;;Status:, 1, sigma: 0.75
196.366;1;blinky;out;1
196.366;1;blinky;;Status:, 0, sigma: 0.75
197.116;1;blinky;out;0
197.116;1;blinky;;Status:, 1, sigma: 0.75
197.866;1;blinky;out;1
197.866;1;blinky;;Status:, 0, sigma: 0.75
198.616;1;blinky;out;0
198.616;1;blinky;;Status:, 1, sigma: 0.75
199.366;1;blinky;out;1
199.366;1;blinky;;Status:, 0, sigma: 0.75
200.116;1;blinky;out;0
200.116;1;blinky;;Status:, 1, sigma: 0.75
200.866;1;blinky;out;1
200.866;1;blinky;;Status:, 0, sigma: 0.75
201.616;1;blinky;out;0
201.616;1;blinky;;Status:, 1, sigma: 0.75
202.366;1;blinky;out;1
202.366;1;blinky;;Status:, 0, sigma: 0.75
203.116;1;blinky;out;0
